Date,Open,High,Low,Close ,Adj Close ,Volume
14-Nov-23,23.5,23.8,22.7,22.9,22.612,"2,624,780"
13-Nov-23,22.95,23.4,22.6,23.4,23.106,"3,507,537"
10-Nov-23,22.85,23.15,22.4,22.6,22.316,"2,756,600"
9-Nov-23,23.5,23.75,23,23.2,22.908,"1,920,800"
8-Nov-23,23.4,23.85,23.35,23.5,23.205,"2,566,600"
7-Nov-23,23.45,23.8,23.35,23.5,23.205,"2,191,984"
6-Nov-23,23.2,24.05,23.15,23.45,23.155,"7,912,298"
3-Nov-23,21.9,22.8,21.9,22.65,22.365,"4,888,600"
2-Nov-23,21.8,22.1,21.6,21.9,21.625,"2,880,954"
1-Nov-23,21.55,21.9,21.15,21.45,21.18,"4,467,600"
31-Oct-23,22.85,22.85,21.2,21.55,21.279,"11,431,886"
30-Oct-23,22.65,23,22.4,22.85,22.563,"4,662,702"
